data_pedido,data_envio,modo_envio,nome_cliente,segmento_cliente,cidade,estado,regiao,departamento,tipo_produto,vendas,quantidade,desconto,lucro
2018-11-09,2018-11-12,Econômica,Thiago Silveira,B2C,Ribeirão Preto,São Paulo,Sudeste,Materiais de construção,encanamentos,890.66,2,0.0,142.51
2018-11-09,2018-11-12,Econômica,Thiago Silveira,B2C,Ribeirão Preto,São Paulo,Sudeste,Materiais de construção,ferramentas,2488.6,3,0.0,746.58
2018-06-13,2018-06-17,Econômica,Giovanna Lima,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,sementes,49.71,2,0.0,23.36
2017-10-12,2017-10-19,Entrega padrão,Ana Júlia da Cruz,B2C,Foz do Iguaçu,Paraná,Sul,Materiais de construção,materiais de revestimento,3255.76,5,0.45,-1302.31
2017-10-12,2017-10-19,Entrega padrão,Ana Júlia da Cruz,B2C,Foz do Iguaçu,Paraná,Sul,Jardinagem e paisagismo,vasos,76.05,2,0.2,8.56
2016-06-10,2016-06-15,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Materiais de construção,iluminação,166.12,7,0.0,48.18
2016-06-10,2016-06-15,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,decoração de jardim,24.75,4,0.0,6.68
2016-06-10,2016-06-15,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Automotivo,pneus,3084.32,6,0.2,308.43
2016-06-10,2016-06-15,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,62.91,3,0.2,19.66
2016-06-10,2016-06-15,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,mobiliário de exterior,390.66,5,0.0,117.2
2016-06-10,2016-06-15,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Materiais de construção,materiais de revestimento,5801.03,9,0.2,290.05
2016-06-10,2016-06-15,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Automotivo,pneus,3098.84,4,0.2,232.41
2019-04-16,2019-04-21,Entrega padrão,Marina Carvalho,B2C,São João de Meriti,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,pesticidas,52.88,3,0.2,18.51
2018-12-06,2018-12-11,Entrega padrão,Alana Ramos,B2C,Fortaleza,Ceará,Nordeste,Jardinagem e paisagismo,ferramentas de jardinagem,1387.12,3,0.2,450.81
2017-11-23,2017-11-27,Entrega padrão,Nicolas Rezende,B2B,Rio Branco,Acre,Norte,Jardinagem e paisagismo,mobiliário de exterior,233.95,5,0.8,-421.12
2017-11-23,2017-11-27,Entrega padrão,Nicolas Rezende,B2B,Rio Branco,Acre,Norte,Jardinagem e paisagismo,ferramentas de jardinagem,8.65,3,0.8,-12.97
2016-11-12,2016-11-19,Entrega padrão,Gabriel da Paz,B2C,Itapecerica da Serra,São Paulo,Sudeste,Jardinagem e paisagismo,vasos,2263.99,6,0.0,45.28
2016-08-28,2016-09-02,Econômica,Amanda Nascimento,B2C,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,decoração de jardim,29.1,2,0.0,8.44
2016-08-28,2016-09-02,Econômica,Amanda Nascimento,B2C,Salvador,Bahia,Nordeste,Automotivo,pneus,725.83,3,0.2,54.44
2016-08-28,2016-09-02,Econômica,Amanda Nascimento,B2C,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,ferramentas de jardinagem,77.25,4,0.2,25.11
2018-12-10,2018-12-14,Entrega padrão,Alice Ribeiro,B2B,Porto Seguro,Bahia,Nordeste,Jardinagem e paisagismo,decoração de jardim,66.16,7,0.0,17.2
2018-12-10,2018-12-14,Entrega padrão,Alice Ribeiro,B2B,Porto Seguro,Bahia,Nordeste,Jardinagem e paisagismo,mobiliário de exterior,205.16,7,0.0,53.34
2019-07-17,2019-07-19,Econômica,Bianca Campos,B2C,Brasília,Distrito Federal,Centro-Oeste,Materiais de construção,ferramentas,242.66,2,0.3,-3.47
2017-09-26,2017-10-01,Entrega padrão,Nicole Gomes,B2C,Teixeira de Freitas,Bahia,Nordeste,Materiais de construção,materiais de revestimento,3551.74,3,0.0,816.9
2018-01-17,2018-01-21,Econômica,Melissa da Rosa,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,39.6,2,0.2,14.36
2018-01-17,2018-01-21,Econômica,Melissa da Rosa,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Automotivo,ferramentas automotivas,307.94,3,0.0,40.03
2017-09-18,2017-09-22,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Materiais de construção,encanamentos,10483.66,7,0.5,-5661.18
2017-09-18,2017-09-22,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Jardinagem e paisagismo,ferramentas de jardinagem,32.7,2,0.7,-23.98
